,id,infinitive,definition,mood,subject,tense,answer,translation
0,0,to register,registrar,Indicativo,I,Presente,register,me registro
1,1,to register,registrar,Indicativo,I,Pasado,registered,estoy registrado
2,2,to register,registrar,Indicativo,I,Futuro,will register,me registraré
3,3,to register,registrar,Indicativo,you,Presente,register,te registras
4,4,to register,registrar,Indicativo,you,Pasado,registered,te registraste
5,5,to register,registrar,Indicativo,you,Futuro,will register,te registrarás
6,6,to register,registrar,Indicativo,he,Presente,registers,el se registra
7,7,to register,registrar,Indicativo,she,Presente,registers,ella se registra
8,8,to register,registrar,Indicativo,he,Pasado,registered,se registró
9,9,to register,registrar,Indicativo,she,Pasado,registered,ella se registró
10,10,to register,registrar,Indicativo,he,Futuro,will register,se registrará
11,11,to register,registrar,Indicativo,she,Futuro,will register,ella se registrará
12,12,to register,registrar,Indicativo,we,Presente,register,nos registramos
13,13,to register,registrar,Indicativo,we,Pasado,registered,nos registramos
14,14,to register,registrar,Indicativo,we,Futuro,will register,nos registraremos
15,15,to register,registrar,Indicativo,you,Presente,register,te registras
16,16,to register,registrar,Indicativo,you,Pasado,registered,te registraste
17,17,to register,registrar,Indicativo,you,Futuro,will register,te registrarás
18,18,to register,registrar,Indicativo,they,Presente,register,se registran
19,19,to register,registrar,Indicativo,they,Pasado,registered,se registraron
20,20,to register,registrar,Indicativo,they,Futuro,will register,ellos se registrarán
21,21,to register,registrar,Perfecto,I,Presente,have registered,he registrado
22,22,to register,registrar,Perfecto,I,Pasado,had registered,me había registrado
23,23,to register,registrar,Perfecto,I,Futuro,will have registered,me habré registrado
24,24,to register,registrar,Perfecto,you,Presente,have registered,te has registrado
25,25,to register,registrar,Perfecto,you,Pasado,had registered,te habias registrado
26,26,to register,registrar,Perfecto,you,Futuro,will have registered,te habrás registrado
27,27,to register,registrar,Perfecto,he,Presente,has registered,el se ha registrado
28,28,to register,registrar,Perfecto,she,Presente,has registered,ella se ha registrado
29,29,to register,registrar,Perfecto,he,Pasado,had registered,se había registrado
30,30,to register,registrar,Perfecto,she,Pasado,had registered,ella se había registrado
31,31,to register,registrar,Perfecto,he,Futuro,will have registered,él se habrá registrado
32,32,to register,registrar,Perfecto,she,Futuro,will have registered,ella se habrá registrado
33,33,to register,registrar,Perfecto,we,Presente,have registered,nos hemos registrado
34,34,to register,registrar,Perfecto,we,Pasado,had registered,nos habíamos registrado
35,35,to register,registrar,Perfecto,we,Futuro,will have registered,nos habremos registrado
36,36,to register,registrar,Perfecto,you,Presente,have registered,te has registrado
